target,var1,var2,var3,var4,var5,var6,var7
0,509.180,417.681,Micronesia,138.000,393.000,no,2019-07-20 13:21:37
0,446.060,666.182,Dominica,81.000,352.050,yes,2019-04-04 21:30:46
1,235.500,398.097,Isle of Man,90.000,339.000,no,2019-03-03 02:59:37
0,306.020,518.163,Turkmenistan,102.000,439.250,yes,2019-03-19 08:00:58
0,453.080,600.156,Cameroon,105.000,422.950,no,2019-03-18 13:22:35
1,211.720,506.716,Liechtenstein,111.000,310.600,no,2019-03-18 13:00:12
0,401.420,627.294,French Guiana,78.000,390.050,no,2019-03-28 02:29:19
0,498.900,525.207,Barbados,129.000,408.750,yes,2019-06-07 05:41:16
1,257.900,651.209,Netherlands,147.000,280.200,no,2019-02-07 08:02:31
1,283.040,467.801,Chad,69.000,272.350,yes,2019-03-26 19:37:46
1,333.720,188.193,Algeria,90.000,289.300,yes,2019-07-08 17:14:01
0,440.160,703.248,Greenland,87.000,341.250,yes,2019-02-15 16:18:49
0,450.460,654.968,Dominica,114.000,412.900,no,2019-03-11 14:50:56
0,451.520,634.303,Armenia,75.000,338.550,no,2019-04-28 02:55:10
1,230.740,575.947,Equatorial Guinea,132.000,260.850,no,2019-02-24 06:17:18
0,461.860,612.276,Egypt,93.000,397.850,yes,2019-05-17 04:27:31
1,210.000,441.743,Austria,132.000,310.300,yes,2019-04-12 14:01:08
0,374.060,772.204,Equatorial Guinea,102.000,343.400,no,2019-07-15 09:42:19
1,231.820,498.228,Brunei Darussalam,99.000,257.900,yes,2019-04-24 13:46:10
0,398.580,541.062,Luxembourg,69.000,391.200,yes,2019-04-04 11:39:51
1,247.720,404.685,Grenada,138.000,223.600,no,2019-03-12 02:48:18
0,449.800,712.224,Belize,108.000,379.000,yes,2019-01-21 04:30:43
1,209.560,436.621,Brazil,126.000,297.950,no,2019-07-06 18:36:01
0,367.700,747.807,Jordan,93.000,350.200,no,2019-03-27 03:59:26
1,281.540,721.963,Mexico,114.000,271.850,yes,2019-06-25 18:17:53
0,340.260,549.524,United States of America,90.000,433.900,no,2019-02-18 23:08:59
1,299.580,467.373,Albania,102.000,183.650,no,2019-06-27 01:56:36
0,505.540,534.313,Argentina,87.000,346.750,no,2019-02-13 15:37:36
0,382.340,625.898,Saint Vincent and the Grenadines,135.000,440.200,no,2019-03-07 20:02:51
1,342.480,644.108,Eritrea,81.000,229.100,no,2019-02-10 20:43:38
1,215.120,488.674,Belarus,138.000,289.100,no,2019-04-06 14:16:52
0,373.960,485.372,Cyprus,63.000,379.200,yes,2019-02-07 07:41:06
1,301.580,432.419,Ethiopia,135.000,179.900,yes,2019-06-27 21:51:47
1,270.160,684.489,Taiwan,99.000,343.000,yes,2019-02-17 18:50:57
0,402.520,730.493,Guam,93.000,367.050,no,2019-01-16 08:01:40
0,466.080,633.944,Turkmenistan,108.000,406.050,yes,2019-01-02 09:30:11
1,258.020,356.848,Saudi Arabia,135.000,219.150,yes,2019-01-29 05:39:16
1,287.580,460.043,Bouvet Island (Bouvetoya),159.000,218.350,no,2019-07-21 21:16:35
0,470.020,608.795,Tanzania,117.000,417.000,yes,2019-04-07 01:57:38
1,241.800,373.452,South Africa,87.000,291.100,yes,2019-02-11 02:40:02
0,404.240,510.151,American Samoa,87.000,436.150,yes,2019-03-26 19:54:16
0,446.180,343.092,San Marino,159.000,406.100,no,2019-01-07 13:25:21
0,469.620,544.292,Brunei Darussalam,96.000,413.950,no,2019-02-24 10:36:43
1,400.440,515.102,Turks and Caicos Islands,96.000,176.650,yes,2019-06-05 22:11:34
0,436.340,483.761,Czech Republic,63.000,340.900,no,2019-02-09 22:04:54
1,322.320,239.753,Saint Pierre and Miquelon,162.000,274.600,yes,2019-06-13 13:59:51
1,281.660,391.326,Australia,174.000,297.550,yes,2019-06-16 02:01:24
0,380.240,721.547,Italy,84.000,353.050,yes,2019-04-16 05:24:33
1,391.380,397.997,Netherlands,174.000,225.550,yes,2019-01-05 16:26:44
0,500.060,534.123,Guinea,123.000,407.550,yes,2019-05-19 09:30:12
0,443.020,688.620,Grenada,90.000,372.650,no,2019-04-18 09:33:42
1,258.620,523.366,Svalbard & Jan Mayen Islands,147.000,224.900,yes,2019-04-10 00:13:47
0,449.640,697.583,France,90.000,355.700,yes,2019-06-21 00:52:47
1,250.440,501.998,Thailand,132.000,215.100,yes,2019-04-13 05:42:52
1,273.280,434.449,Singapore,162.000,234.400,yes,2019-02-04 08:53:37
1,288.540,328.475,French Guiana,156.000,231.850,yes,2019-01-05 00:02:53
0,401.180,675.161,Estonia,81.000,379.150,yes,2019-03-04 10:13:48
0,419.820,469.641,French Polynesia,117.000,457.150,no,2019-07-07 03:55:01
0,419.440,694.819,Svalbard & Jan Mayen Islands,96.000,395.450,no,2019-05-07 21:32:51
1,256.320,684.472,Morocco,129.000,339.700,yes,2019-05-01 00:23:13
1,398.500,567.351,Chad,150.000,186.600,no,2019-03-30 23:40:52
0,330.540,780.929,Western Sahara,123.000,330.700,yes,2019-03-23 08:52:31
1,278.020,602.490,Bouvet Island (Bouvetoya),93.000,230.650,yes,2019-02-01 09:00:55
0,494.620,666.991,Palau,99.000,327.000,yes,2019-02-12 22:51:08
1,282.680,293.592,Eritrea,93.000,237.400,yes,2019-06-30 00:19:33
0,461.560,569.093,India,87.000,402.300,yes,2019-06-04 09:13:29
0,422.780,605.507,Czech Republic,66.000,329.500,yes,2019-07-16 14:13:54
1,457.560,500.553,Andorra,78.000,231.400,no,2019-04-18 21:07:28
1,405.400,785.210,Saint Helena,123.000,339.250,no,2019-01-21 22:51:34
1,265.320,304.875,Mongolia,126.000,222.300,no,2019-01-15 19:40:47
0,445.820,705.106,Jamaica,108.000,387.350,no,2019-03-14 03:29:12
1,254.020,557.876,Belize,108.000,223.200,yes,2019-02-14 06:51:43
0,472.380,530.589,French Southern Territories,75.000,366.900,no,2019-04-21 09:30:35
1,241.260,433.861,Guyana,123.000,221.650,yes,2019-01-14 09:27:59
1,254.520,463.392,Tonga,78.000,280.050,yes,2019-07-05 18:59:45
0,512.780,580.377,France,93.000,332.350,no,2019-03-03 03:13:48
0,496.380,562.166,Chad,117.000,405.550,no,2019-07-13 11:41:29
0,420.780,656.202,Gabon,84.000,387.200,yes,2019-06-10 04:21:57
1,216.060,473.144,Palau,117.000,267.700,yes,2019-06-23 11:05:01
1,255.300,676.823,Netherlands,129.000,276.600,yes,2019-03-18 09:08:39
1,229.700,535.499,Bahamas,147.000,281.000,no,2019-04-21 18:31:27
0,341.800,639.365,Angola,96.000,421.250,no,2019-04-10 06:32:11
1,377.120,563.948,Gambia,156.000,189.350,no,2019-05-25 20:10:02
1,305.720,466.938,Taiwan,135.000,176.700,yes,2019-06-18 16:32:58
1,336.540,434.501,Tajikistan,168.000,212.200,yes,2019-02-10 15:23:17
1,336.820,256.827,Bulgaria,171.000,336.300,no,2019-05-27 05:54:03
1,340.080,368.842,Liechtenstein,141.000,177.450,yes,2019-04-13 07:07:36
1,320.980,369.135,Macedonia,126.000,174.800,no,2019-06-01 16:10:30
0,374.720,623.364,Fiji,90.000,420.400,no,2019-01-13 02:58:27
1,231.820,616.525,Montserrat,114.000,283.200,yes,2019-01-05 17:56:52
0,457.520,626.675,Morocco,99.000,408.050,yes,2019-04-17 15:46:03
1,264.760,543.247,Latvia,102.000,214.150,no,2019-04-23 09:42:08
0,357.500,652.802,Algeria,72.000,352.200,no,2019-06-06 21:26:51
1,349.100,283.573,Canada,153.000,210.250,no,2019-06-20 14:20:52
1,244.900,435.737,Liechtenstein,150.000,241.300,no,2019-06-18 22:31:22
1,439.580,609.539,Martinique,93.000,207.350,yes,2019-07-06 15:56:39
1,266.360,489.131,Lebanon,105.000,203.350,yes,2019-05-05 09:28:36
1,274.480,633.630,Suriname,135.000,223.900,no,2019-07-09 11:04:54
0,404.320,568.847,Guernsey,60.000,332.450,yes,2019-06-10 11:31:33
0,534.020,514.733,Peru,105.000,338.200,no,2019-07-02 20:23:15
0,415.060,355.219,Belarus,78.000,404.950,no,2019-06-10 03:56:41
1,224.380,602.235,Martinique,126.000,309.400,no,2019-07-23 11:46:28
1,291.460,483.352,Lithuania,96.000,196.500,yes,2019-02-24 04:11:37
0,430.080,664.120,Vietnam,99.000,406.850,yes,2019-01-15 01:20:05
1,258.320,533.368,Lao People's Democratic Republic,147.000,227.400,no,2019-05-19 04:23:41
1,313.080,270.864,Honduras,87.000,238.300,yes,2019-07-18 11:33:31
0,385.700,622.049,French Southern Territories,96.000,429.200,no,2019-06-09 21:43:05
0,474.780,692.857,Saint Pierre and Miquelon,105.000,358.800,yes,2019-05-26 13:18:30
0,462.740,620.534,Puerto Rico,78.000,351.450,no,2019-03-28 19:48:37
1,272.360,485.544,Costa Rica,99.000,204.400,no,2019-05-31 17:50:15
1,218.080,415.476,Canada,132.000,272.750,yes,2019-02-04 03:10:17
0,426.720,679.388,Tonga,111.000,414.350,yes,2019-06-28 20:13:41
1,309.860,224.560,Saint Lucia,99.000,238.700,no,2019-05-14 14:49:05
0,350.280,688.770,Syrian Arab Republic,114.000,418.300,yes,2019-02-18 03:58:36
1,240.120,570.098,Faroe Islands,105.000,249.050,no,2019-01-05 04:18:46
1,317.120,423.625,Afghanistan,177.000,256.900,yes,2019-06-17 17:11:16
0,462.420,738.845,Seychelles,114.000,340.550,yes,2019-01-07 21:21:50
1,382.520,147.755,Jersey,132.000,263.350,yes,2019-05-19 06:37:38
0,467.860,432.996,Greece,96.000,424.050,no,2019-07-04 23:17:47
1,234.600,413.358,Hong Kong,87.000,325.750,yes,2019-07-14 22:43:29
0,339.000,712.284,Burundi,87.000,360.400,yes,2019-03-09 14:45:33
1,225.440,364.249,Cyprus,138.000,345.750,yes,2019-07-24 00:22:16
1,247.440,527.233,Trinidad and Tobago,111.000,221.650,no,2019-01-08 09:32:26
1,312.720,248.529,Iran,123.000,209.100,yes,2019-05-26 22:49:47
0,478.440,561.134,Azerbaijan,87.000,388.150,yes,2019-02-14 17:05:15
0,424.760,703.772,Uruguay,90.000,367.850,yes,2019-03-20 08:22:50
0,407.680,683.490,Pakistan,78.000,347.500,yes,2019-02-27 13:51:44
0,450.100,605.140,Vanuatu,72.000,337.350,no,2019-03-20 07:12:52
1,247.600,260.240,Peru,126.000,346.000,yes,2019-06-17 09:58:46
1,369.880,533.096,Nauru,57.000,304.550,yes,2019-06-09 14:24:06
0,452.220,644.478,Turkey,117.000,417.350,yes,2019-05-15 20:48:40
0,409.120,676.862,Honduras,108.000,417.650,yes,2019-07-06 05:34:52
0,361.760,601.884,Hong Kong,84.000,419.450,no,2019-05-28 12:20:15
1,497.020,596.832,Hungary,87.000,334.000,yes,2019-07-11 13:23:37
0,420.520,576.694,Greece,93.000,430.950,no,2019-05-08 12:51:00
1,308.460,322.524,Australia,174.000,281.950,yes,2019-02-14 10:06:49
1,246.440,349.037,Macao,135.000,234.200,yes,2019-05-15 18:44:50
1,343.240,722.709,New Caledonia,93.000,252.600,yes,2019-01-23 15:02:13
0,438.980,712.967,France,99.000,375.750,no,2019-06-19 18:19:38
0,467.220,631.097,Saint Helena,87.000,369.400,yes,2019-01-04 06:37:15
0,477.980,545.416,Qatar,99.000,413.650,no,2019-05-20 21:31:24
0,495.800,640.216,Bahrain,117.000,378.250,no,2019-05-30 02:34:25
1,242.560,536.478,Macao,129.000,228.100,yes,2019-06-26 02:34:15
0,473.920,530.425,Italy,81.000,379.700,no,2019-02-16 12:05:45
1,269.200,255.988,Malta,120.000,240.150,no,2019-06-02 22:16:08
1,212.080,495.254,Turkey,132.000,295.650,no,2019-06-09 17:11:02
0,383.560,522.617,Morocco,81.000,428.850,no,2019-04-09 23:26:42
1,223.420,556.059,Ukraine,135.000,275.650,yes,2019-02-17 21:55:29
0,388.460,733.923,Rwanda,117.000,398.000,yes,2019-04-22 07:48:33
1,346.100,525.812,Guatemala,162.000,195.950,yes,2019-01-23 21:15:57
1,253.940,436.985,Saint Barthelemy,156.000,374.350,yes,2019-05-31 02:17:18
0,522.040,445.594,Afghanistan,120.000,385.350,yes,2019-03-01 10:01:35
1,227.380,586.777,Monaco,135.000,337.950,yes,2019-07-23 05:21:39
1,269.760,387.453,Sao Tome and Principe,114.000,200.750,no,2019-06-27 18:37:04
0,417.520,646.986,Serbia,93.000,409.750,no,2019-05-01 21:46:37
1,324.160,275.084,Liberia,117.000,194.650,yes,2019-03-11 06:49:10
0,492.880,647.751,Mongolia,111.000,374.200,no,2019-01-14 16:30:38
1,257.960,521.774,Malta,126.000,207.300,no,2019-05-23 08:06:24
1,239.680,413.563,Kazakhstan,87.000,286.750,yes,2019-04-23 14:34:38
1,500.720,331.472,Israel,93.000,262.800,no,2019-04-24 01:48:21
1,345.660,535.755,Turkmenistan,156.000,188.400,no,2019-02-17 13:16:33
0,292.380,705.756,Thailand,114.000,379.000,no,2019-04-18 11:23:05
1,243.140,386.412,Bosnia and Herzegovina,153.000,264.200,no,2019-06-29 10:50:45
0,463.820,571.960,United States Minor Outlying Islands,90.000,405.850,no,2019-06-03 07:00:36
0,400.560,640.086,Bangladesh,84.000,402.550,no,2019-01-08 02:34:06
1,215.840,392.115,Georgia,135.000,315.900,yes,2019-03-05 12:03:41
1,254.140,563.669,Hungary,132.000,401.550,yes,2019-04-18 15:54:33
0,366.960,642.878,Timor-Leste,81.000,397.600,no,2019-06-10 10:11:00
0,334.820,611.613,Georgia,87.000,413.450,no,2019-05-24 10:16:38
0,429.060,617.719,Cameroon,99.000,423.950,yes,2019-03-30 19:09:50
1,231.200,492.064,Mexico,138.000,246.050,yes,2019-02-28 03:34:35
1,295.500,437.789,Saudi Arabia,96.000,428.650,no,2019-07-10 17:24:51
1,223.880,448.937,Mauritania,102.000,266.500,yes,2019-05-06 21:07:31
1,336.000,631.001,Sao Tome and Principe,159.000,222.450,no,2019-04-23 06:28:43
1,295.220,332.938,Mali,75.000,261.750,no,2019-06-05 07:54:30
0,344.200,725.249,Togo,105.000,392.700,yes,2019-05-28 20:41:50
0,394.660,581.519,Anguilla,72.000,388.000,no,2019-05-26 15:40:26
1,416.420,428.614,South Africa,144.000,173.900,no,2019-03-24 02:01:55
0,499.620,665.228,South Africa,117.000,354.600,no,2019-07-21 20:30:06
1,280.300,612.290,Czech Republic,162.000,359.500,no,2019-04-22 20:32:17
1,234.700,464.731,Latvia,156.000,286.200,no,2019-06-29 21:39:42
1,331.120,421.916,Cambodia,129.000,167.600,yes,2019-05-09 21:54:38
1,238.600,627.226,Turkey,141.000,311.550,yes,2019-02-14 07:36:58
1,285.340,575.870,Falkland Islands (Malvinas),123.000,194.700,no,2019-07-15 09:08:42
0,404.500,509.837,Qatar,60.000,348.100,no,2019-02-26 22:46:43
1,277.740,636.490,Western Sahara,117.000,218.250,yes,2019-05-08 22:24:27
0,482.720,505.064,New Zealand,75.000,349.300,yes,2019-01-12 21:17:15
1,218.580,373.348,Wallis and Futuna,111.000,284.450,no,2019-05-25 00:19:57
1,221.860,593.979,Angola,123.000,310.700,no,2019-01-23 18:59:21
0,512.800,521.400,Thailand,96.000,368.600,no,2019-03-18 02:39:26
1,407.800,240.789,Burundi,114.000,202.350,yes,2019-07-22 07:44:43
1,257.240,530.418,Ethiopia,117.000,209.300,no,2019-03-26 15:28:07
0,450.940,667.738,Mauritius,123.000,409.500,yes,2019-06-11 06:47:55
0,396.900,606.376,Cambodia,63.000,298.050,no,2019-04-06 05:55:43
1,277.100,490.300,Portugal,156.000,218.850,no,2019-01-25 07:39:41
1,353.960,603.334,Madagascar,180.000,333.150,yes,2019-01-16 23:37:51
1,216.200,420.789,Taiwan,111.000,277.300,yes,2019-02-21 23:07:11
1,282.260,588.471,Iran,75.000,333.850,yes,2019-07-09 11:18:02
0,393.420,615.263,British Virgin Islands,69.000,365.900,no,2019-04-04 07:07:46
1,303.900,341.272,Samoa,69.000,330.050,yes,2019-06-21 03:14:41
0,477.160,677.148,Wallis and Futuna,105.000,369.750,yes,2019-04-10 14:48:35
0,428.160,666.368,Sweden,93.000,400.450,yes,2019-05-23 21:00:45
0,334.520,723.306,Yemen,102.000,386.750,yes,2019-03-09 12:10:08
1,250.220,349.423,Brunei Darussalam,117.000,397.550,no,2019-03-06 09:33:46
0,465.560,500.387,Swaziland,102.000,428.900,yes,2019-07-20 21:53:42
0,407.480,642.679,Pakistan,75.000,365.950,no,2019-01-19 12:18:13
1,309.500,499.427,Bahrain,114.000,174.300,yes,2019-06-18 17:56:32
1,216.540,487.589,Jersey,105.000,333.450,yes,2019-05-11 19:13:42
1,404.360,611.423,Cuba,84.000,208.650,no,2019-01-07 19:16:05
0,429.480,662.695,Gabon,93.000,401.950,yes,2019-05-03 08:21:23
1,289.060,473.389,Kiribati,120.000,181.850,no,2019-04-22 00:28:18
0,466.720,465.001,Greece,138.000,432.650,yes,2019-06-29 01:19:21
0,387.200,582.879,Madagascar,93.000,435.900,yes,2019-01-31 05:12:44
0,435.320,565.938,Italy,78.000,394.200,no,2019-06-29 07:20:46
0,482.060,465.579,Bhutan,75.000,361.150,no,2019-07-05 17:17:49
0,375.900,419.208,Guatemala,57.000,277.750,yes,2019-03-24 02:35:54
1,218.440,373.453,Guam,132.000,338.450,yes,2019-04-01 01:57:12
1,250.540,353.493,Liberia,114.000,225.400,yes,2019-03-27 08:32:37
1,223.180,458.005,Samoa,117.000,249.200,yes,2019-02-09 07:21:25
0,336.300,670.809,Gabon,87.000,388.300,yes,2019-06-19 22:08:15
0,324.060,427.602,Australia,102.000,446.850,no,2019-04-16 12:26:31
0,462.980,608.433,Gabon,75.000,329.000,no,2019-03-18 16:04:59
0,418.500,632.969,Moldova,81.000,390.550,no,2019-01-30 16:10:04
1,318.100,697.849,Netherlands Antilles,81.000,315.200,yes,2019-07-10 16:25:56
1,328.500,664.298,Cote d'Ivoire,75.000,280.800,no,2019-01-22 19:43:53
1,264.140,344.181,Palau,144.000,225.850,no,2019-01-27 14:41:10
1,274.560,425.812,Saint Vincent and the Grenadines,114.000,192.600,no,2019-03-27 23:59:06
0,439.440,332.392,Mongolia,84.000,406.450,yes,2019-02-15 20:41:05
0,439.500,575.187,Bahamas,72.000,372.700,yes,2019-03-30 16:15:59
0,437.220,421.629,Eritrea,63.000,328.850,no,2019-03-18 17:35:40
1,274.860,700.533,Guinea,144.000,316.800,yes,2019-06-23 01:22:43
1,216.500,389.874,Switzerland,135.000,301.950,no,2019-03-02 15:39:02
0,355.560,502.160,Paraguay,96.000,446.700,no,2019-03-21 21:15:54
0,423.740,560.674,Eritrea,66.000,355.000,yes,2019-03-14 06:46:14
1,299.340,595.500,Puerto Rico,72.000,278.950,yes,2019-02-20 20:47:05
1,389.660,482.466,Mongolia,96.000,173.300,yes,2019-07-14 12:07:10
0,316.100,722.100,Finland,90.000,328.250,yes,2019-07-02 21:22:23
0,458.380,711.571,Greenland,120.000,379.050,yes,2019-03-27 19:50:11
1,311.600,762.470,Pakistan,129.000,336.400,no,2019-04-03 21:13:46
0,472.580,547.740,Myanmar,105.000,422.650,yes,2019-03-26 00:32:02
0,391.860,601.518,Mexico,96.000,432.900,no,2019-02-26 23:44:44
1,306.240,714.556,Guyana,153.000,298.200,no,2019-05-03 01:09:01
1,278.840,726.844,Dominican Republic,126.000,283.300,yes,2019-02-20 10:52:51
0,445.500,656.535,Nicaragua,84.000,367.300,no,2019-05-15 14:41:49
0,375.520,702.256,Tonga,120.000,416.300,no,2019-01-02 14:36:03
1,221.320,577.390,New Zealand,126.000,286.000,yes,2019-03-19 11:09:36
0,476.900,698.697,Panama,99.000,330.850,yes,2019-01-20 00:26:15
0,462.560,710.552,South Africa,114.000,373.050,no,2019-04-06 23:10:40
0,502.160,675.119,Bolivia,132.000,297.600,no,2019-05-27 18:45:35
1,270.480,674.310,New Caledonia,147.000,281.500,no,2019-02-03 19:12:51
0,406.880,755.606,Croatia,99.000,350.250,yes,2019-03-24 17:48:31
0,442.360,658.164,Myanmar,117.000,417.750,no,2019-06-08 20:13:27
1,381.900,657.735,Denmark,120.000,188.700,yes,2019-05-27 12:45:37
1,291.700,325.936,Algeria,108.000,199.300,yes,2019-06-26 17:16:26
0,423.740,438.705,Zambia,96.000,443.600,no,2019-01-03 17:10:05
0,506.960,531.853,Brazil,138.000,391.750,yes,2019-01-11 02:07:14
0,432.000,704.490,China,132.000,399.850,yes,2019-07-13 01:48:46
0,414.540,550.151,Pakistan,72.000,391.850,yes,2019-01-23 04:47:37
1,289.540,547.557,Palestinian Territory,90.000,212.550,no,2019-01-15 19:45:33
0,389.120,662.626,Netherlands Antilles,108.000,426.850,no,2019-01-27 17:08:19
0,488.680,567.298,Jersey,93.000,384.950,no,2019-06-22 07:33:21
1,329.660,326.357,Burundi,156.000,207.450,yes,2019-05-20 08:49:33
1,297.860,312.159,Bangladesh,129.000,196.700,yes,2019-04-17 21:39:11
1,248.760,659.538,Korea,132.000,278.000,no,2019-06-14 11:59:58
0,435.360,704.926,Cambodia,132.000,397.700,no,2019-01-05 16:34:31
1,270.620,670.502,Zambia,102.000,257.500,yes,2019-03-15 11:25:48
1,216.300,377.132,Bahamas,120.000,284.950,yes,2019-07-16 23:08:54
1,250.920,257.391,Turkey,123.000,269.600,no,2019-06-12 11:17:25
1,236.780,310.875,British Indian Ocean Territory (Chagos Archipelago),108.000,273.500,no,2019-02-13 07:53:55
0,413.580,608.456,Greece,78.000,397.200,yes,2019-05-15 13:18:34
1,240.740,424.157,Mongolia,153.000,258.150,no,2019-02-01 17:24:57
1,265.420,528.020,Heard Island and McDonald Islands,150.000,224.800,no,2019-01-02 12:25:36
0,445.440,593.410,Philippines,93.000,417.400,no,2019-03-04 13:47:47
1,211.880,475.754,Djibouti,111.000,291.050,yes,2019-02-07 17:06:35
1,227.060,326.890,Ireland,114.000,280.700,no,2019-02-03 07:59:16
0,381.900,717.275,Kyrgyz Republic,84.000,354.500,yes,2019-06-17 23:19:38
0,345.620,616.180,Kuwait,69.000,359.450,no,2019-02-03 23:47:56
0,508.100,493.255,Philippines,99.000,386.000,no,2019-02-12 20:36:40
0,461.540,504.684,Niue,75.000,383.800,no,2019-05-26 13:28:36
0,409.640,697.182,Iran,87.000,378.200,no,2019-03-15 19:35:19
0,494.020,567.255,Malta,84.000,349.750,yes,2019-04-28 01:24:34
0,451.940,668.617,Austria,81.000,343.600,yes,2019-02-23 17:37:46
1,283.780,457.165,Czech Republic,132.000,187.350,no,2019-01-26 03:56:18
1,291.920,313.434,Vietnam,114.000,199.250,yes,2019-01-03 03:22:15
0,397.580,634.292,Belgium,81.000,396.100,no,2019-03-11 12:39:19
1,270.360,332.581,Guinea,90.000,237.650,yes,2019-04-03 05:10:31
1,276.700,713.925,Jersey,129.000,349.500,yes,2019-05-13 11:51:10
0,435.700,651.722,Fiji,84.000,384.050,no,2019-07-03 12:57:03
1,246.560,567.595,Papua New Guinea,87.000,302.650,yes,2019-05-09 10:21:48
1,225.040,578.060,Korea,111.000,278.550,no,2019-03-06 23:26:44
0,331.300,524.162,Moldova,75.000,406.600,yes,2019-03-08 05:12:57
